class,mode,txn,req_func,t_req,t_ack,t_resp,clrt_ms,req_len,resp_seg_vector,resp_total,cold
ALL,defended,221,3,1786665265.954217,1786665265.974725,1786665265.978729,4.004,45,28,28,0
ALL,defended,222,3,1786665265.984366,1786665266.008714,1786665266.012715,4.001,45,28,28,0
ALL,defended,223,3,1786665266.018365,1786665266.039698,1786665266.043752,4.054,45,28,28,0
ALL,defended,224,3,1786665266.049323,1786665266.069813,1786665266.073814,4.002,45,28,28,0
ALL,defended,225,3,1786665266.079446,1786665266.099938,1786665266.103935,3.996,45,28,28,0
ALL,defended,226,3,1786665266.109550,1786665266.130955,1786665266.134960,4.005,45,28,28,0
ALL,defended,227,3,1786665266.140577,1786665266.161028,1786665266.165038,4.009,45,28,28,0
ALL,defended,228,3,1786665266.170688,1786665266.191189,1786665266.195184,3.996,45,28,28,0
ALL,defended,229,3,1786665266.200804,1786665266.221295,1786665266.225297,4.002,45,28,28,0
ALL,defended,230,3,1786665266.230922,1786665266.252134,1786665266.256138,4.004,45,28,28,0
ALL,defended,231,3,1786665266.261770,1786665266.282278,1786665266.286277,3.999,45,28,28,0
ALL,defended,232,3,1786665266.291890,1786665266.312364,1786665266.316386,4.023,45,28,28,0
ALL,defended,233,3,1786665266.321976,1786665266.342408,1786665266.346434,4.026,45,28,28,0
ALL,defended,234,3,1786665266.352053,1786665266.372989,1786665266.376988,3.999,45,28,28,0
ALL,defended,235,3,1786665266.382613,1786665266.403123,1786665266.407125,4.002,45,28,28,0
ALL,defended,236,3,1786665266.412742,1786665266.433266,1786665266.437285,4.019,45,28,28,0
ALL,defended,237,3,1786665266.442858,1786665266.463328,1786665266.467335,4.007,45,28,28,0
ALL,defended,238,3,1786665266.472938,1786665266.493893,1786665266.497896,4.004,45,28,28,0
ALL,defended,239,3,1786665266.503521,1786665266.524027,1786665266.528028,4.001,45,28,28,0
ALL,defended,240,3,1786665266.533689,1786665266.554195,1786665266.558193,3.998,45,28,28,0
ALL,defended,241,3,1786665266.563818,1786665266.585406,1786665266.589461,4.055,45,28,28,0
ALL,defended,242,3,1786665266.595016,1786665266.615488,1786665266.619488,4.000,45,28,28,0
ALL,defended,243,3,1786665266.625115,1786665266.645579,1786665266.649580,4.001,45,28,28,0
ALL,defended,244,3,1786665266.655200,1786665266.675712,1786665266.679719,4.007,45,28,28,0
ALL,defended,245,3,1786665266.685372,1786665266.706409,1786665266.710408,3.999,45,28,28,0
ALL,defended,246,3,1786665266.716011,1786665266.736512,1786665266.740513,4.002,45,28,28,0
ALL,defended,247,3,1786665266.746136,1786665266.766596,1786665266.770602,4.006,45,28,28,0
ALL,defended,248,3,1786665266.776226,1786665266.796691,1786665266.800693,4.002,45,28,28,0
ALL,defended,249,3,1786665266.806348,1786665266.827343,1786665266.831397,4.055,45,28,28,0
ALL,defended,250,3,1786665266.836955,1786665266.857471,1786665266.861473,4.002,45,28,28,0
ALL,defended,251,3,1786665266.867089,1786665266.887601,1786665266.891593,3.992,45,28,28,0
ALL,defended,252,3,1786665266.897212,1786665266.917683,1786665266.921682,4.000,45,28,28,0
ALL,defended,253,3,1786665266.927299,1786665266.948179,1786665266.952177,3.998,45,28,28,0
ALL,defended,254,3,1786665266.957794,1786665266.978310,1786665266.982366,4.055,45,28,28,0
ALL,defended,255,3,1786665266.987931,1786665267.008448,1786665267.012443,3.995,45,28,28,0
ALL,defended,256,3,1786665267.018040,1786665267.038514,1786665267.042514,4.000,45,28,28,0
ALL,defended,257,3,1786665267.048125,1786665267.069074,1786665267.073056,3.982,45,28,28,0
ALL,defended,258,3,1786665267.078711,1786665267.099214,1786665267.103213,3.998,45,28,28,0
ALL,defended,259,3,1786665267.108816,1786665267.129338,1786665267.133341,4.003,45,28,28,0
ALL,defended,260,3,1786665267.138971,1786665267.163582,1786665267.167582,4.000,45,28,28,0
ALL,defended,261,3,1786665267.173208,1786665267.194117,1786665267.198118,4.001,45,28,28,0
ALL,defended,262,3,1786665267.203754,1786665267.224265,1786665267.228268,4.003,45,28,28,0
ALL,defended,263,3,1786665267.233885,1786665267.254403,1786665267.258405,4.003,45,28,28,0
ALL,defended,264,3,1786665267.264018,1786665267.285587,1786665267.289591,4.004,45,28,28,0
ALL,defended,265,3,1786665267.295197,1786665267.315657,1786665267.319659,4.002,45,28,28,0
