arm,class,request_to_ack_ms,clrt_ms
timing_off,READ,0.6249,1.1690
timing_off,READ,1.7133,1.1540
timing_off,READ,0.5021,2.2800
timing_off,READ,0.5038,1.2810
timing_off,READ,1.6236,1.1930
timing_off,READ,0.5982,2.2090
timing_off,READ,0.5214,1.2770
timing_off,READ,1.6057,1.1960
timing_off,READ,4.6837,2.4820
timing_off,READ,0.6270,1.1320
timing_off,READ,1.6181,1.1460
timing_off,READ,0.6282,2.1840
timing_off,READ,0.6275,1.1600
timing_off,READ,1.6179,1.2090
timing_off,READ,0.6077,2.1800
timing_off,READ,0.6099,1.3780
timing_off,READ,1.4858,1.2520
timing_off,READ,0.6409,2.2140
timing_off,READ,0.5903,2.3600
timing_off,READ,0.6313,1.2040
timing_off,READ,1.6136,1.2270
timing_off,READ,0.6115,2.1230
timing_off,READ,0.5898,1.1960
timing_off,READ,1.6613,1.1950
timing_off,READ,0.6289,2.1630
timing_off,READ,0.6278,1.1530
timing_off,READ,1.6663,1.1550
timing_off,READ,0.5610,2.2300
timing_off,READ,0.5386,1.2200
timing_off,READ,1.7726,1.2180
timing_off,READ,0.5136,2.2290
timing_off,READ,0.5345,1.3090
timing_off,READ,1.5767,1.2730
timing_off,READ,0.6056,2.1700
timing_off,READ,0.5577,1.2750
timing_off,READ,1.5819,1.3120
timing_off,READ,0.6187,2.1320
timing_off,READ,0.6216,1.1680
timing_off,READ,1.6398,1.1620
timing_off,READ,0.6218,2.1540
timing_off,READ,0.8111,1.1550
timing_off,READ,1.5674,1.3020
timing_off,READ,0.5894,2.1580
timing_off,READ,0.5419,5.4100
timing_off,READ,1.5783,1.2270
timing_off,READ,0.5343,2.3170
timing_off,READ,0.5040,1.2620
timing_off,READ,1.4741,1.3800
timing_off,READ,0.5975,2.1940
timing_off,READ,0.8388,2.1460
timing_off,READ,0.6287,1.1540
timing_off,READ,1.6959,1.1220
timing_off,READ,0.6156,2.3250
timing_off,READ,0.5715,1.2380
timing_off,READ,1.6601,1.2330
timing_off,READ,0.5691,2.1360
timing_off,READ,0.5858,1.2560
timing_off,READ,1.6191,1.1840
timing_off,READ,0.5872,2.1110
timing_off,READ,0.5622,1.2680
timing_off,READ,1.6453,1.2690
timing_off,READ,0.6471,2.1780
timing_off,READ,0.6490,1.1550
timing_off,READ,1.6432,1.0580
timing_off,READ,0.5012,2.2770
timing_off,READ,0.6304,1.1780
timing_off,READ,1.6162,1.1320
timing_off,READ,0.5581,2.2670
timing_off,READ,0.5624,1.2960
timing_off,READ,1.5621,1.1820
timing_off,READ,0.5562,2.3470
timing_off,READ,0.5243,1.2640
timing_off,READ,1.5197,1.2640
